postsyn_consensus_list,presyn_consensus
SDHD,NA
SDK1,NA
SDK2,NA
SEC11A,NA
SEC11C,NA
SEC63,NA
SEH1L,NA
SEL1L,NA
SELENBP1,NA
SELM,NA
SELT,NA
SEMA4C,NA
SENP7,NA
SEPSECS,NA
SEPT14,NA
SERINC1,NA
SERPINA3,NA
SERPINA3M,NA
SERPINB1A,NA
SERPINB6,NA
SERPINB6A,NA
SERPINE2,NA
SERPINH1,NA
SETD7,NA
SETDB1,NA
SEZ6L,NA
SF1,NA
SF3B3,NA
SGTB,NA
SH3BGRL3,NA
SH3D21,NA
SH3GLB1,NA
SHC1,NA
SHISA4,NA
SHISA8,NA
SHPRH,NA
SHROOM2,NA
SHROOM4,NA
SIDT1,NA
SIM2,NA
SIPA1L2,NA
SKINT6,NA
SLC12A4,NA
SLC12A9,NA
SLC13A5,NA
SLC14A1,NA
SLC16A1,NA
SLC16A3,NA
SLC16A7,NA
SLC17A6,NA
SLC17A8,NA
SLC18A2,NA
SLC20A2,NA
SLC22A1,NA
SLC22A17,NA
SLC23A2,NA
SLC24A2,NA
SLC24A4,NA
SLC25A27,NA
SLC25A51,NA
SLC27A2,NA
SLC29A2,NA
SLC30A10,NA
SLC35B2,NA
SLC44A1,NA
SLC4A7,NA
SLC6A6,NA
SLC6A7,NA
SLC7A11,NA
SLC7A2,NA
SLC7A8,NA
SLC9A7,NA
SLCO1C1,NA
SLF1,NA
SLIRP,NA
SLITRK2,NA
SLITRK4,NA
SLITRK5,NA
SLMAP,NA
SMARCA4,NA
SMARCA5,NA
SMARCC1,NA
SMC1B,NA
SMC2,NA
SMC5,NA
SMCHD1,NA
SMG1,NA
SMG5,NA
SMO,NA
SMYD3,NA
SNAP23,NA
SNAPC4,NA
SNRK,NA
SNRPA1,NA
SNRPB,NA
SNRPD1,NA
SNRPF,NA
SNW1,NA
SNX16,NA
SNX24,NA
SNX30,NA
SORD,NA
SOS2,NA
SOX7,NA
sp|Q8BGX2|CS052_MOUSE,NA
sp|Q8BHE8|CB047_MOUSE,NA
sp|Q8BR90-2|CE051_MOUSE,NA
sp|Q8BR90|CE051_MOUSE,NA
sp|Q8C3W1|CA198_MOUSE,NA
sp|Q9CPS8|SMAKA_MOUSE,NA
sp|Q9CYS6-2|CB072_MOUSE,NA
sp|Q9CYS6|CB072_MOUSE,NA
SPAG17,NA
SPAG5,NA
SPAST,NA
SPATA2,NA
SPEF2,NA
SPEG,NA
SPG11,NA
SPG20,NA
SPHK2,NA
SPINK5,NA
SPNS2,NA
SPOCK2,NA
SPPL2B,NA
SPR,NA
SPRED2,NA
SPRYD7,NA
SPTA1,NA
SRM,NA
SRP72,NA
SRP9,NA
SRSF7,NA
SSB,NA
SSPO,NA
SSR3,NA
SSR4,NA
ST13,NA
ST14,NA
ST5,NA
STAB2,NA
STAM,NA
STAMBP,NA
STARD8,NA
STARD9,NA
STAT5A,NA
STAT6,NA
STC1,NA
STIM2,NA
STMN1,NA
STMN2,NA
STOX2,NA
STRC,NA
STRIP1,NA
STRN3,NA
STT3A,NA
STT3B,NA
STUM,NA
STX18,NA
STX4A,NA
STX8,NA
STXBP2,NA
SUMO2,NA
SUMO3,NA
SUN1,NA
SUPV3L1,NA
SURF1,NA
SURF4,NA
SUV420H2,NA
SV2C,NA
SVIL,NA
SVIP,NA
SYNDIG1,NA
SYNE2,NA
SYPL,NA
SYPL1,NA
SYT17,NA
SZT2,NA
TAF1,NA
TAGLN,NA
TARS2,NA
TAX1BP1,NA
TBC1D15,NA
TBC1D2,NA
TBC1D2B,NA
TBC1D32,NA
TBC1D8,NA
TBC1D8B,NA
TBKBP1,NA
TBL2,NA
TCEA1,NA
TCHP,NA
TDRD5,NA
TDRD9,NA
TDRKH,NA
TENM1,NA
TENM2,NA
TEP1,NA
TESC,NA
TET3,NA
TEX2,NA
TEX9,NA
TF,NA
TFB1M,NA
TFG,NA
TG,NA
TGFBRAP1,NA
TGM2,NA
TGM3,NA
TH,NA
THADA,NA
THBS4,NA
THEM2,NA
THEM4,NA
THOC2,NA
THOP1,NA
THSD7B,NA
TIAL1,NA
TIAM1,NA
TIGAR,NA
TIMELESS,NA
TIMM13,NA
TIMM22,NA
TIMM23,NA
TIMM8A1,NA
TIMM8A2,NA
TIPRL,NA
TJAP1,NA
TK2,NA
TLK2,NA
TLR12,NA
TLR7,NA
TM9SF3,NA
TMCC2,NA
TMCO1,NA
TMCO3,NA
TMED3,NA
TMED7,NA
TMEFF1,NA
TMEFF2,NA
TMEM106B,NA
TMEM108,NA
TMEM121B,NA
TMEM131,NA
TMEM132A,NA
TMEM132E,NA
TMEM14C,NA
TMEM151A,NA
TMEM151B,NA
TMEM163,NA
TMEM178B,NA
TMEM200A,NA
TMEM222,NA
TMEM256,NA
TMEM263,NA
TMEM35,NA
TMEM35A,NA
TMEM47,NA
TMEM50B,NA
TMEM55A,NA
TMEM55B,NA
TMEM87B,NA
TMEM94,NA
TMLHE,NA
TMPO,NA
TMSB4X,NA
TMUB1,NA
TMX3,NA
TNKS1BP1,NA
TNNC2,NA
TNS2,NA
TOGARAM1,NA
TOMM7,NA
TOMM70,NA
TOP2A,NA
TOP3A,NA
TOR1A,NA
TOR1AIP1,NA
TP53BP1,NA
TPD52L1,NA
TPGS1,NA
TPM2,NA
TPM3-RS7,NA
TPRG1L,NA
TRA2B,NA
TRADD,NA
TRAK1,NA
TRAPPC1,NA
TRAPPC2,NA
TRAPPC2L,NA
TRAPPC4,NA
TRAPPC5,NA
TRAPPC8,NA
TRF,NA
TRHDE,NA
TRIM23,NA
TRIM25,NA
TRIM36,NA
TROVE2,NA
TRP53BP1,NA
TRP53I11,NA
TRPC4,NA
TRPC5,NA
TRPM4,NA
TRPM6,NA
TRPM7,NA
TSN,NA
TSNAX,NA
TSPOAP1,NA
TSR2,NA
TSSC1,NA
TSTA3,NA
TTBK1,NA
TTC19,NA
TTC21A,NA
TTC21B,NA
TTC28,NA
TTC9,NA
TTLL12,NA
TUBA1C,NA
TUBA3A,NA
TUBAL3,NA
TUBB1,NA
TUBB5,NA
TUBB8,NA
TUBGCP2,NA
TUBGCP3,NA
TUSC2,NA
TUT4,NA
TXN,NA
TXN1,NA
TXN2,NA
TXNDC12,NA
TXNDC17,NA
TXNDC9,NA
TXNRD1,NA
TYRO3,NA
U2AF1,NA
U2AF1L4,NA
U2AF2,NA
UBA3,NA
UBASH3B,NA
UBE2D1,NA
UBE2D2,NA
UBE2D2A,NA
UBE2D3,NA
UBE2I,NA
UBE2K,NA
UBE2L3,NA
UBE2Q1,NA
UBIE2,NA
UBN1,NA
UBOX5,NA
UBR1,NA
UBR2,NA
UBTD1,NA
UBTD2,NA
UBXN2B,NA
UBXN4,NA
UCHL3,NA
UCHL4,NA
UCHL5,NA
UFD1L,NA
UFL1,NA
UGCG,NA
UGT8A,NA
UHRF1BP1L,NA
UNC13B,NA
UNC13C,NA
UNC5A,NA
UNC5C,NA
UNC79,NA
UQCC1,NA
UQCC2,NA
URGCP,NA
USH2A,NA
USP10,NA
USP11,NA
USP13,NA
USP25,NA
USP34,NA
USP36,NA
USP43,NA
USP50,NA
UTRN,NA
VANGL1,NA
VANGL2,NA
VAV2,NA
VEGFA,NA
VEPH1,NA
VIRMA,NA
VKORC1,NA
VKORC1L1,NA
VMP1,NA
VPS13A,NA
VPS13B,NA
VPS13D,NA
VPS36,NA
VPS37B,NA
VPS4B,NA
VPS54,NA
VPS9D1,NA
VTI1A,NA
VTN,NA
VWA3A,NA
VWA5A,NA
VWA5B1,NA
VWA8,NA
VWC2,NA
WARS,NA
WASHC4,NA
WBP2,NA
WDFY3,NA
WDR11,NA
WDR26,NA
WDR35,NA
WDR41,NA
WDR45B,NA
WDR6,NA
WDR81,NA
WDR82,NA
WDR89,NA
WDR93,NA
WIF1,NA
WIPF3,NA
WIZ,NA
WNK3,NA
WRN,NA
WWC1,NA
WWC2,NA
XIRP2,NA
XPNPEP1,NA
XPNPEP3,NA
XRCC1,NA
XRCC5,NA
XRCC6,NA
YME1L1,NA
YTHDC2,NA
YTHDF1,NA
YTHDF3,NA
ZAP70,NA
ZBED5,NA
ZC2HC1A,NA
ZC3H8,NA
ZDBF2,NA
ZDHHC17,NA
ZDHHC8,NA
ZFAND2B,NA
ZFAT,NA
ZFP292,NA
ZFP318,NA
ZFP365,NA
ZFP423,NA
ZFP445,NA
ZFP518A,NA
ZFP521,NA
ZFP536,NA
ZFP541,NA
ZFP592,NA
ZFP598,NA
ZFP609,NA
ZFP827,NA
ZFYVE26,NA
ZGRF1,NA
ZMYM2,NA
ZMYM3,NA
ZNF365,NA
ZNF451,NA
ZSWIM3,NA
ZSWIM4,NA
ZSWIM8,NA
ZW10,NA
ZWINT,NA
ZZEF1,NA
NA,NA
