postsyn_consensus_list,presyn_consensus
QDPR,RAB21
RAB11FIP5,RAB26
RAB1A,RAB27B
RAB3C,RAB2B
RAB5C,RAB33B
RAB6A,RAB35
RARS,RAB39B
RASAL1,RAB3A
RGS7,RAB3B
RHOB,RAB3C
RHOT1,RAB3D
ROCK2,RAB3GAP1
RPL11,RAB5A
RPL13,RAB5C
RPL18A,RAB6B
RPL23,RAB7A
RPL23A,RAB8B
RPL3,RAC1
RPL35,RAP1A
RPL9,RAPGEF3
RPN2,RAPGEF4
RPS11,RASAL1
RPS16,RASAL2
RPS3A,RGS10
RPS5,RGS7BP
RTN3,RHOA
RUFY3,RHOB
SAMM50,RIMBP2
SBF1,RIMS1
SCCPDH,RIMS2
SDCBP,RIMS3
SEC22B,RIMS4
SEC23A,RNF112
SEPT2,RNF40
SEPT6,ROGDI
SEPT7,ROR1
SEPT8,RPH3A
SEPT9,RPL22
SFN,RPL26
SFXN5,RTN1
SGIP1,RTN3
SH3GL2,RTN4R
SLC12A5,RUNX3
SLC17A7,S100A1
SLC1A3,S100A13
SLC25A13,SCAMP5
SLC25A3,SCN10A
SLC27A4,SCN11A
SLC4A4,SCN1A
SLK,SCN2A
SNAP25,SCN2A1
SNTA1,SCN8A
SNX27,SCRIB
SORBS1,SEC22B
SPTBN2,SEMA4C
STOML2,SEPT1
STRN4,SEPT3
STUB1,SEPT4
STX12,SEPT5
STXBP5,SEPT6
SUCLA2,SEPT7
SUCLG1,SEPT8
SV2A,SERTAD4
SYN2,SGIP1
SYT5,SGTA
SYT7,SH3GL1
TAGLN3,SH3GL2
TFAM,SH3GL3
TJP2,SH3GLB1
TKT,SHANK2
TLN2,SHH
TOMM70A,SLC10A4
TPI1,SLC17A6
TPM1,SLC17A7
TRIM3,SLC17A8
TTC7B,SLC18A1
TUBB2A,SLC18A2
TXNL1,SLC18A3
UBE2N,SLC1A3
UBR4,SLC1A6
UCHL1,SLC1A7
UNC13A,SLC24A4
UPF1,SLC29A1
VAMP2,SLC2A4
VAPA,SLC2A8
VAPB,SLC30A3
VCAN,SLC32A1
VDAC1,SLC38A3
VDAC3,SLC40A1
VIM,SLC4A10
VPS16,SLC4A4
VPS33A,SLC4A7
VPS45,SLC5A7
VPS4A,SLC6A11
VSNL1,SLC6A17
WDR1,SLC6A2
WDR47,SLC6A3
XPO1,SLC6A4
ABI2,SLC6A5
ABLIM2,SLC6A9
ACACA,SLC7A14
ACOT7,SLC8A1
ACTN1,SLC8A2
ADRBK1,SLC9B2
AHSA1,SNAP47
AIFM1,SNAP91
AIFM3,SNAPIN
AK1,SNCA
AK3,SNCB
AKAP12,SNCG
AKR1A1,SNPH
ALDH1L1,SNX1
ALDH3A2,SPHK1
ALDH5A1,SPTBN1
ANK1,SPTBN2
ANXA1,SRI
ANXA2,STON2
ANXA5,STX11
ANXA7,STX16
AP1G1,STX19
AP3D1,STX2
AP3M2,STX3
APPL1,STX4A
ARHGAP23,STX6
ARHGDIA,STX7
ARHGEF7,STX8
ARMC10,STXBP3
ARVCF,STXBP5
ATAD1,SV2C
ATIC,SVOP
ATL2,SYAP1
ATP13A1,SYN1
ATP1B2,SYN2
ATP2B3,SYN3
ATP5F1,SYNGR1
ATP5H,SYNGR2
ATP5J2,SYNGR3
ATP5L,SYNGR4
ATP5O,SYNJ1
ATP6V1G2,SYNJ2
ATP8A1,SYPL
BCKDK,SYPL2
BEGAIN,SYT1
BTBD17,SYT11
C1QBP,SYT12
CA4,SYT4
CACNB1,SYT5
CACNB3,SYT8
CACNG3,SYT9
CADPS,TANC1
CAMKK1,TBC1D9B
CAMKK2,TCEB1
CAP1,TH
CAPN1,TM9SF4
CAPN5,TMED9
CAPZA1,TMEM163
CBR1,TMEM222
CCNY,TMEM230
CDC42,TNN
CDH10,TNR
CDKL5,TOR1A
CLASP2,TPPP
CLTA,TPRGL
CNDP2,TRAPPC4
COPA,TRIM9
COPB2,TRPM7
CORO1A,TRPV2
CORO1B,TSPOAP1
CORO1C,TTYH3
CORO2B,TULP1
COX4I1,UCN
COX5B,UCN3
COX6B1,UNC13A
CPNE5,UNC13B
CPNE6,UNC13C
CRAT,UQCRH
CRIP2,USH2A
CRKL,USP5
CRYAB,VAMP1
CYB5R1,VAMP4
CYC1,VBP1
CYTH3,VDAC1
DAAM1,VDAC2
DARS,VDAC3
DCAKD,VPS11
DCTN3,VPS18
DCTN4,VPS33B
DDX17,VPS35
DDX6,VPS45
DGKZ,VPS51
DIRAS1,VSNL1
DMD,VTI1A
DMWD,VTI1B
DNAJB1,WASF3
DNAJB2,WDR7
DNAJB4,WFS1
DNM1L,YKT6
DOCK3,YWHAG
DPYSL4,YWHAH
DTNA,YWHAQ
DUSP3,ZFP804A
DYNLRB1,NA
EHD1,NA
EIF4G1,NA
ELMO2,NA
ERC1,NA
ERLIN2,NA
FAM49A,NA
FKBP8,NA
FMNL2,NA
FN3K,NA
FSD1,NA
GAD1,NA
GDAP1,NA
GDAP1L1,NA
GK,NA
GLS,NA
GNB4,NA
GNG12,NA
GNL1,NA
GOT2,NA
GPI,NA
GPR158,NA
GPRIN1,NA
GPX4,NA
GRM1,NA
GSTM3,NA
GUK1,NA
HADH,NA
HDLBP,NA
HMOX2,NA
HNRNPA3,NA
HSDL1,NA
HSP90B1,NA
HSPA1A,NA
HSPA4L,NA
HSPB1,NA
IARS2,NA
IDH2,NA
IDH3G,NA
IGSF8,NA
INF2,NA
IPO5,NA
ITPR1,NA
KARS,NA
KCTD16,NA
KIF21A,NA
KLC2,NA
KPNB1,NA
KRAS,NA
L1CAM,NA
LDHA,NA
LDHB,NA
LIN7B,NA
LINGO1,NA
LLGL1,NA
LRRC8A,NA
LSAMP,NA
LZTS1,NA
MACROD1,NA
MAG,NA
MAP1LC3A,NA
MAP2K2,NA
MARK1,NA
MCCC1,NA
MCCC2,NA
MFF,NA
MFN2,NA
MOG,NA
MPRIP,NA
MRPS36,NA
MTDH,NA
MTHFD1,NA
MTX1,NA
MYH10,NA
MYH14,NA
MYO1D,NA
NAP1L4,NA
NCALD,NA
NCAM1,NA
NDUFA13,NA
NDUFA2,NA
NDUFB4,NA
NDUFB6,NA
NDUFB7,NA
NDUFB8,NA
NDUFB9,NA
NDUFS6,NA
NEBL,NA
NGEF,NA
NPEPPS,NA
NRCAM,NA
NRXN3,NA
OGDHL,NA
OGT,NA
OLFM1,NA
OPCML,NA
OXR1,NA
PADI2,NA
PAFAH1B1,NA
PAICS,NA
PALM2,NA
PARK7,NA
PDCD6IP,NA
PDHX,NA
PDPK1,NA
PEX11B,NA
PFN1,NA
PFN2,NA
PGK1,NA
PGRMC1,NA
PHACTR1,NA
PHYHIP,NA
PI4KA,NA
PICALM,NA
PIP4K2A,NA
PKM,NA
PLD3,NA
PLXNA1,NA
PLXNA4,NA
POR,NA
PPP1CA,NA
PPP2R5D,NA
PREX1,NA
PRNP,NA
PRR7,NA
PSMC1,NA
PSMD11,NA
PSMD2,NA
PTK2,NA
PTPN11,NA
PTPN23,NA
PTPRD,NA
PYGM,NA
RAB11B,NA
RAB12,NA
RAB18,NA
RAB21,NA
RAB35,NA
RAB3A,NA
RAB3GAP1,NA
RAB3GAP2,NA
RANGAP1,NA
RAP1GAP,NA
RAP1GDS1,NA
RASAL2,NA
RASGRF2,NA
RHOA,NA
RIMBP2,NA
RIMS1,NA
ROGDI,NA
RPL10A,NA
RPL13A,NA
RPL18,NA
RPL19,NA
RPL22,NA
RPL27,NA
RPL31,NA
RPS17,NA
RPS2,NA
RPS6,NA
RPSA,NA
SACM1L,NA
SARS,NA
SCRIB,NA
SCRN1,NA
SFPQ,NA
SFXN1,NA
SH3GL1,NA
SH3GL3,NA
SH3GLB2,NA
SH3KBP1,NA
SHMT2,NA
