postsyn_consensus_list,presyn_consensus,ER_consensus,Golgi_consensus,mito_consensus,cytoskeleton_consensus,cytoplasm_consensus,nucleus_consensus
RGS14,NA,NA,NA,NA,NA,NA,MYRF
RGS17,NA,NA,NA,NA,NA,NA,MYRFL
RGS6,NA,NA,NA,NA,NA,NA,MYT1
RHOT2,NA,NA,NA,NA,NA,NA,MZF1
RIC8A,NA,NA,NA,NA,NA,NA,N4BP1
RIMS2,NA,NA,NA,NA,NA,NA,N4BP2L2
RMDN3,NA,NA,NA,NA,NA,NA,NAA38
ROCK1,NA,NA,NA,NA,NA,NA,NAB1
RP2,NA,NA,NA,NA,NA,NA,NAB2
RPL15,NA,NA,NA,NA,NA,NA,NABP1
RPL27A,NA,NA,NA,NA,NA,NA,NABP2
RPL29,NA,NA,NA,NA,NA,NA,NAF1
RPL32,NA,NA,NA,NA,NA,NA,NAIF1
RPL37A,NA,NA,NA,NA,NA,NA,NAMPT
RPLP1,NA,NA,NA,NA,NA,NA,NANOG
RPLP2,NA,NA,NA,NA,NA,NA,NAP1L5
RPS12,NA,NA,NA,NA,NA,NA,NARF
RPS21,NA,NA,NA,NA,NA,NA,NASP
RPS26,NA,NA,NA,NA,NA,NA,NAV2
RPS27A,NA,NA,NA,NA,NA,NA,NAV3
RRAS2,NA,NA,NA,NA,NA,NA,NBN
RTCB,NA,NA,NA,NA,NA,NA,NCAPD3
RTN4RL2,NA,NA,NA,NA,NA,NA,NCAPG2
S100B,NA,NA,NA,NA,NA,NA,NCAPH2
SCFD1,NA,NA,NA,NA,NA,NA,NCOA1
SDHB,NA,NA,NA,NA,NA,NA,NCOA3
SEC14L2,NA,NA,NA,NA,NA,NA,NCOA6
SGTA,NA,NA,NA,NA,NA,NA,NCOA7
SH3PXD2A,NA,NA,NA,NA,NA,NA,NCOR2
SIRT5,NA,NA,NA,NA,NA,NA,NDC1
SKIV2L,NA,NA,NA,NA,NA,NA,NDC80
SLC12A6,NA,NA,NA,NA,NA,NA,NECAB1
SLC1A4,NA,NA,NA,NA,NA,NA,NEDD8
SLC25A23,NA,NA,NA,NA,NA,NA,NEIL1
SLC30A9,NA,NA,NA,NA,NA,NA,NEIL2
SLC4A10,NA,NA,NA,NA,NA,NA,NEIL3
SLC4A3,NA,NA,NA,NA,NA,NA,NEK1
SLC6A9,NA,NA,NA,NA,NA,NA,NEK11
SLC9A3R2,NA,NA,NA,NA,NA,NA,NEK2
SMAP1,NA,NA,NA,NA,NA,NA,NEK7
SNAP47,NA,NA,NA,NA,NA,NA,NELFA
SNRNP200,NA,NA,NA,NA,NA,NA,NELFB
SNTB1,NA,NA,NA,NA,NA,NA,NELFCD
SNX9,NA,NA,NA,NA,NA,NA,NELFE
SOD2,NA,NA,NA,NA,NA,NA,NEMF
SPARCL1,NA,NA,NA,NA,NA,NA,NEMP1
SPTB,NA,NA,NA,NA,NA,NA,NEMP2
SRCIN1,NA,NA,NA,NA,NA,NA,NENF
SRPRB,NA,NA,NA,NA,NA,NA,NET1
STAT3,NA,NA,NA,NA,NA,NA,NEUROD2
STIM1,NA,NA,NA,NA,NA,NA,NFAT5
STIP1,NA,NA,NA,NA,NA,NA,NFATC1
STK38L,NA,NA,NA,NA,NA,NA,NFATC2IP
STX4,NA,NA,NA,NA,NA,NA,NFE2L1
SUB1,NA,NA,NA,NA,NA,NA,NFE2L2
SV2B,NA,NA,NA,NA,NA,NA,NFE2L3
SYNJ2BP,NA,NA,NA,NA,NA,NA,NFIA
SYT12,NA,NA,NA,NA,NA,NA,NFIB
TAGLN2,NA,NA,NA,NA,NA,NA,NFIC
TARDBP,NA,NA,NA,NA,NA,NA,NFIL3
TBC1D17,NA,NA,NA,NA,NA,NA,NFKB1
TBC1D9B,NA,NA,NA,NA,NA,NA,NFKBIE
TBRG4,NA,NA,NA,NA,NA,NA,NFKBIZ
TCP11L1,NA,NA,NA,NA,NA,NA,NFRKB
TECR,NA,NA,NA,NA,NA,NA,NFXL1
TIMM44,NA,NA,NA,NA,NA,NA,NFYA
TMEM11,NA,NA,NA,NA,NA,NA,NGFR
TMEM126A,NA,NA,NA,NA,NA,NA,NHEJ1
TMEM132B,NA,NA,NA,NA,NA,NA,NHLH2
TMX4,NA,NA,NA,NA,NA,NA,NICN1
TNPO2,NA,NA,NA,NA,NA,NA,NIN
TNPO3,NA,NA,NA,NA,NA,NA,NKAP
TOMM20,NA,NA,NA,NA,NA,NA,NKX2-4
TOMM22,NA,NA,NA,NA,NA,NA,NKX2-5
TOMM40,NA,NA,NA,NA,NA,NA,NKX3-2
TPD52,NA,NA,NA,NA,NA,NA,NKX6-1
TPP1,NA,NA,NA,NA,NA,NA,NLE1
TPPP3,NA,NA,NA,NA,NA,NA,NLK
TPT1,NA,NA,NA,NA,NA,NA,NMD3
TRAPPC10,NA,NA,NA,NA,NA,NA,NMNAT1
TRAPPC9,NA,NA,NA,NA,NA,NA,NMRAL1
TRIM28,NA,NA,NA,NA,NA,NA,NMRK2
TRIM32,NA,NA,NA,NA,NA,NA,NOCT
TSFM,NA,NA,NA,NA,NA,NA,NOL12
TTC35,NA,NA,NA,NA,NA,NA,NOL3
TTYH1,NA,NA,NA,NA,NA,NA,NOL4
TUBA8,NA,NA,NA,NA,NA,NA,NOL4L
TUBB2C,NA,NA,NA,NA,NA,NA,NOL9
TXNDC5,NA,NA,NA,NA,NA,NA,NOP10
TXNRD2,NA,NA,NA,NA,NA,NA,NOSIP
UBAP2L,NA,NA,NA,NA,NA,NA,NOTCH1
UBB,NA,NA,NA,NA,NA,NA,NOTCH2
UBC,NA,NA,NA,NA,NA,NA,NOVA1
UBE2O,NA,NA,NA,NA,NA,NA,NOX4
UBE2V1,NA,NA,NA,NA,NA,NA,NPAS1
UBE3C,NA,NA,NA,NA,NA,NA,NPAS2
UQCR10,NA,NA,NA,NA,NA,NA,NPAS3
UQCRQ,NA,NA,NA,NA,NA,NA,NPAT
USP15,NA,NA,NA,NA,NA,NA,NPM2
USP46,NA,NA,NA,NA,NA,NA,NR0B1
VIPAS39,NA,NA,NA,NA,NA,NA,NR1D1
VPS13C,NA,NA,NA,NA,NA,NA,NR1D2
VPS26A,NA,NA,NA,NA,NA,NA,NR1H2
VPS39,NA,NA,NA,NA,NA,NA,NR1H4
VPS41,NA,NA,NA,NA,NA,NA,NR1I2
VPS8,NA,NA,NA,NA,NA,NA,NR1I3
VTI1B,NA,NA,NA,NA,NA,NA,NR2C2AP
WDR13,NA,NA,NA,NA,NA,NA,NR2E1
WIPF2,NA,NA,NA,NA,NA,NA,NR4A2
WIPI2,NA,NA,NA,NA,NA,NA,NR6A1
WNK2,NA,NA,NA,NA,NA,NA,NRBF2
XPO7,NA,NA,NA,NA,NA,NA,NRG1
YKT6,NA,NA,NA,NA,NA,NA,NRIP1
ZADH2,NA,NA,NA,NA,NA,NA,NRL
NA,NA,NA,NA,NA,NA,NA,NRM
NA,NA,NA,NA,NA,NA,NA,NSD2
NA,NA,NA,NA,NA,NA,NA,NSL1
NA,NA,NA,NA,NA,NA,NA,NSMCE1
NA,NA,NA,NA,NA,NA,NA,NSMCE2
NA,NA,NA,NA,NA,NA,NA,NSMCE3
NA,NA,NA,NA,NA,NA,NA,NSMCE4A
NA,NA,NA,NA,NA,NA,NA,NSMF
NA,NA,NA,NA,NA,NA,NA,NSRP1
NA,NA,NA,NA,NA,NA,NA,NSUN2
NA,NA,NA,NA,NA,NA,NA,NSUN5
NA,NA,NA,NA,NA,NA,NA,NTAN1
NA,NA,NA,NA,NA,NA,NA,NTMT1
NA,NA,NA,NA,NA,NA,NA,NUAK1
NA,NA,NA,NA,NA,NA,NA,NUAK2
NA,NA,NA,NA,NA,NA,NA,NUB1
NA,NA,NA,NA,NA,NA,NA,NUCKS1
NA,NA,NA,NA,NA,NA,NA,NUDCD1
NA,NA,NA,NA,NA,NA,NA,NUDT16
NA,NA,NA,NA,NA,NA,NA,NUDT16L1
NA,NA,NA,NA,NA,NA,NA,NUDT22
NA,NA,NA,NA,NA,NA,NA,NUF2
NA,NA,NA,NA,NA,NA,NA,NUFIP2
NA,NA,NA,NA,NA,NA,NA,NUP160
NA,NA,NA,NA,NA,NA,NA,NUP205
NA,NA,NA,NA,NA,NA,NA,NUP210
NA,NA,NA,NA,NA,NA,NA,NUP210L
NA,NA,NA,NA,NA,NA,NA,NUP62
NA,NA,NA,NA,NA,NA,NA,NUP98
NA,NA,NA,NA,NA,NA,NA,NUPL1
NA,NA,NA,NA,NA,NA,NA,NUPL2
NA,NA,NA,NA,NA,NA,NA,NUPR1
NA,NA,NA,NA,NA,NA,NA,NUSAP1
NA,NA,NA,NA,NA,NA,NA,NXF3
NA,NA,NA,NA,NA,NA,NA,OARD1
NA,NA,NA,NA,NA,NA,NA,OAZ3
NA,NA,NA,NA,NA,NA,NA,ODAM
NA,NA,NA,NA,NA,NA,NA,OGFOD1
NA,NA,NA,NA,NA,NA,NA,OGFR
NA,NA,NA,NA,NA,NA,NA,OGG1
NA,NA,NA,NA,NA,NA,NA,OIP5
NA,NA,NA,NA,NA,NA,NA,OLR1
NA,NA,NA,NA,NA,NA,NA,ONECUT2
NA,NA,NA,NA,NA,NA,NA,ONECUT3
NA,NA,NA,NA,NA,NA,NA,ORC6
NA,NA,NA,NA,NA,NA,NA,OSGEP
NA,NA,NA,NA,NA,NA,NA,OTUB2
NA,NA,NA,NA,NA,NA,NA,OTUD7A
NA,NA,NA,NA,NA,NA,NA,OTUD7B
NA,NA,NA,NA,NA,NA,NA,OVCA2
NA,NA,NA,NA,NA,NA,NA,OVOL1
NA,NA,NA,NA,NA,NA,NA,OVOL2
NA,NA,NA,NA,NA,NA,NA,P2RX6
NA,NA,NA,NA,NA,NA,NA,PAF1
NA,NA,NA,NA,NA,NA,NA,PAK7
NA,NA,NA,NA,NA,NA,NA,PALB2
NA,NA,NA,NA,NA,NA,NA,PAPOLA
NA,NA,NA,NA,NA,NA,NA,PAPOLG
NA,NA,NA,NA,NA,NA,NA,PARG
NA,NA,NA,NA,NA,NA,NA,PARN
NA,NA,NA,NA,NA,NA,NA,PARP10
NA,NA,NA,NA,NA,NA,NA,PARP12
NA,NA,NA,NA,NA,NA,NA,PARP3
NA,NA,NA,NA,NA,NA,NA,PARPBP
NA,NA,NA,NA,NA,NA,NA,PATZ1
NA,NA,NA,NA,NA,NA,NA,PAX2
NA,NA,NA,NA,NA,NA,NA,PAX3
NA,NA,NA,NA,NA,NA,NA,PAX5
NA,NA,NA,NA,NA,NA,NA,PAX6
NA,NA,NA,NA,NA,NA,NA,PAX8
NA,NA,NA,NA,NA,NA,NA,PAXBP1
NA,NA,NA,NA,NA,NA,NA,PBX1
NA,NA,NA,NA,NA,NA,NA,PBX2
NA,NA,NA,NA,NA,NA,NA,PBX3
NA,NA,NA,NA,NA,NA,NA,PCBD1
NA,NA,NA,NA,NA,NA,NA,PCGF1
NA,NA,NA,NA,NA,NA,NA,PCGF2
NA,NA,NA,NA,NA,NA,NA,PCGF3
NA,NA,NA,NA,NA,NA,NA,PCGF5
NA,NA,NA,NA,NA,NA,NA,PCGF6
NA,NA,NA,NA,NA,NA,NA,PCIF1
NA,NA,NA,NA,NA,NA,NA,PCLAF
NA,NA,NA,NA,NA,NA,NA,PCNA
NA,NA,NA,NA,NA,NA,NA,PCNP
NA,NA,NA,NA,NA,NA,NA,PCYT1A
NA,NA,NA,NA,NA,NA,NA,PDCD2
NA,NA,NA,NA,NA,NA,NA,PDCD4
NA,NA,NA,NA,NA,NA,NA,PDGFRA
NA,NA,NA,NA,NA,NA,NA,PDIK1L
NA,NA,NA,NA,NA,NA,NA,PDS5A
NA,NA,NA,NA,NA,NA,NA,PDX1
NA,NA,NA,NA,NA,NA,NA,PEG3
NA,NA,NA,NA,NA,NA,NA,PELI1
NA,NA,NA,NA,NA,NA,NA,PELO
NA,NA,NA,NA,NA,NA,NA,PEPD
NA,NA,NA,NA,NA,NA,NA,PEX3
NA,NA,NA,NA,NA,NA,NA,PFDN6
NA,NA,NA,NA,NA,NA,NA,PFKFB2
NA,NA,NA,NA,NA,NA,NA,PFKFB3
NA,NA,NA,NA,NA,NA,NA,PGBD5
NA,NA,NA,NA,NA,NA,NA,PHACTR3
NA,NA,NA,NA,NA,NA,NA,PHAX
NA,NA,NA,NA,NA,NA,NA,PHC1
NA,NA,NA,NA,NA,NA,NA,PHC3
NA,NA,NA,NA,NA,NA,NA,PHF1
NA,NA,NA,NA,NA,NA,NA,PHF10
NA,NA,NA,NA,NA,NA,NA,PHF12
NA,NA,NA,NA,NA,NA,NA,PHF20
NA,NA,NA,NA,NA,NA,NA,PHF20L1
NA,NA,NA,NA,NA,NA,NA,PHF23
NA,NA,NA,NA,NA,NA,NA,PHF3
NA,NA,NA,NA,NA,NA,NA,PHF6
NA,NA,NA,NA,NA,NA,NA,PHF7
NA,NA,NA,NA,NA,NA,NA,PHIP
NA,NA,NA,NA,NA,NA,NA,PHLDA1
NA,NA,NA,NA,NA,NA,NA,PHOX2A
NA,NA,NA,NA,NA,NA,NA,PHOX2B
NA,NA,NA,NA,NA,NA,NA,PHTF1
NA,NA,NA,NA,NA,NA,NA,PHTF2
NA,NA,NA,NA,NA,NA,NA,PIAS2
NA,NA,NA,NA,NA,NA,NA,PIAS3
NA,NA,NA,NA,NA,NA,NA,PIF1
NA,NA,NA,NA,NA,NA,NA,PIK3C2A
NA,NA,NA,NA,NA,NA,NA,PIK3C2B
NA,NA,NA,NA,NA,NA,NA,PIK3CB
NA,NA,NA,NA,NA,NA,NA,PIN4
NA,NA,NA,NA,NA,NA,NA,PINX1
NA,NA,NA,NA,NA,NA,NA,PITX1
NA,NA,NA,NA,NA,NA,NA,PITX2
NA,NA,NA,NA,NA,NA,NA,PKIG
NA,NA,NA,NA,NA,NA,NA,PKN1
NA,NA,NA,NA,NA,NA,NA,PKNOX1
NA,NA,NA,NA,NA,NA,NA,PKNOX2
NA,NA,NA,NA,NA,NA,NA,PKP1
NA,NA,NA,NA,NA,NA,NA,PLA2G15
NA,NA,NA,NA,NA,NA,NA,PLAG1
NA,NA,NA,NA,NA,NA,NA,PLAGL1
NA,NA,NA,NA,NA,NA,NA,PLAGL2
NA,NA,NA,NA,NA,NA,NA,PLCB3
NA,NA,NA,NA,NA,NA,NA,PLCXD2
NA,NA,NA,NA,NA,NA,NA,PLEKHG1
NA,NA,NA,NA,NA,NA,NA,PLK2
NA,NA,NA,NA,NA,NA,NA,PLPPR1
NA,NA,NA,NA,NA,NA,NA,PM20D2
NA,NA,NA,NA,NA,NA,NA,PMF1
NA,NA,NA,NA,NA,NA,NA,PML
NA,NA,NA,NA,NA,NA,NA,PMM2
NA,NA,NA,NA,NA,NA,NA,PMS1
NA,NA,NA,NA,NA,NA,NA,PMS2
NA,NA,NA,NA,NA,NA,NA,PNISR
NA,NA,NA,NA,NA,NA,NA,PNN
NA,NA,NA,NA,NA,NA,NA,PNRC1
NA,NA,NA,NA,NA,NA,NA,PNRC2
NA,NA,NA,NA,NA,NA,NA,POC5
NA,NA,NA,NA,NA,NA,NA,POGK
NA,NA,NA,NA,NA,NA,NA,POLA1
NA,NA,NA,NA,NA,NA,NA,POLA2
NA,NA,NA,NA,NA,NA,NA,POLB
NA,NA,NA,NA,NA,NA,NA,POLD1
NA,NA,NA,NA,NA,NA,NA,POLD2
NA,NA,NA,NA,NA,NA,NA,POLD3
NA,NA,NA,NA,NA,NA,NA,POLE
NA,NA,NA,NA,NA,NA,NA,POLE2
NA,NA,NA,NA,NA,NA,NA,POLE3
NA,NA,NA,NA,NA,NA,NA,POLE4
NA,NA,NA,NA,NA,NA,NA,POLH
NA,NA,NA,NA,NA,NA,NA,POLI
NA,NA,NA,NA,NA,NA,NA,POLK
NA,NA,NA,NA,NA,NA,NA,POLL
NA,NA,NA,NA,NA,NA,NA,POLM
NA,NA,NA,NA,NA,NA,NA,POLN
NA,NA,NA,NA,NA,NA,NA,POLR1A
NA,NA,NA,NA,NA,NA,NA,POLR1C
NA,NA,NA,NA,NA,NA,NA,POLR1D
NA,NA,NA,NA,NA,NA,NA,POLR1E
NA,NA,NA,NA,NA,NA,NA,POLR2A
NA,NA,NA,NA,NA,NA,NA,POLR2B
NA,NA,NA,NA,NA,NA,NA,POLR2C
NA,NA,NA,NA,NA,NA,NA,POLR2D
NA,NA,NA,NA,NA,NA,NA,POLR2E
NA,NA,NA,NA,NA,NA,NA,POLR2F
NA,NA,NA,NA,NA,NA,NA,POLR2H
NA,NA,NA,NA,NA,NA,NA,POLR2J
NA,NA,NA,NA,NA,NA,NA,POLR2K
NA,NA,NA,NA,NA,NA,NA,POLR2M
NA,NA,NA,NA,NA,NA,NA,POLR3A
NA,NA,NA,NA,NA,NA,NA,POLR3B
NA,NA,NA,NA,NA,NA,NA,POLR3C
NA,NA,NA,NA,NA,NA,NA,POLR3D
NA,NA,NA,NA,NA,NA,NA,POLR3E
NA,NA,NA,NA,NA,NA,NA,POLR3F
NA,NA,NA,NA,NA,NA,NA,POLR3G
NA,NA,NA,NA,NA,NA,NA,POLR3H
NA,NA,NA,NA,NA,NA,NA,POMP
NA,NA,NA,NA,NA,NA,NA,POP1
NA,NA,NA,NA,NA,NA,NA,POP5
NA,NA,NA,NA,NA,NA,NA,POP7
NA,NA,NA,NA,NA,NA,NA,POU2F1
NA,NA,NA,NA,NA,NA,NA,POU2F2
NA,NA,NA,NA,NA,NA,NA,POU3F1
NA,NA,NA,NA,NA,NA,NA,POU3F2
NA,NA,NA,NA,NA,NA,NA,POU4F3
NA,NA,NA,NA,NA,NA,NA,POU6F1
NA,NA,NA,NA,NA,NA,NA,PPAN
NA,NA,NA,NA,NA,NA,NA,PPARA
NA,NA,NA,NA,NA,NA,NA,PPARG
NA,NA,NA,NA,NA,NA,NA,PPARGC1A
NA,NA,NA,NA,NA,NA,NA,PPARGC1B
NA,NA,NA,NA,NA,NA,NA,PPHLN1
NA,NA,NA,NA,NA,NA,NA,PPIL1
NA,NA,NA,NA,NA,NA,NA,PPIL3
NA,NA,NA,NA,NA,NA,NA,PPIL4
NA,NA,NA,NA,NA,NA,NA,PPM1G
NA,NA,NA,NA,NA,NA,NA,PPM1M
NA,NA,NA,NA,NA,NA,NA,PPP1R10
NA,NA,NA,NA,NA,NA,NA,PPP1R13B
NA,NA,NA,NA,NA,NA,NA,PPP1R26
NA,NA,NA,NA,NA,NA,NA,PPP2CB
NA,NA,NA,NA,NA,NA,NA,PPP4C
NA,NA,NA,NA,NA,NA,NA,PPP4R2
NA,NA,NA,NA,NA,NA,NA,PPP4R3A
NA,NA,NA,NA,NA,NA,NA,PPP4R3B
NA,NA,NA,NA,NA,NA,NA,PPRC1
NA,NA,NA,NA,NA,NA,NA,PRCC
NA,NA,NA,NA,NA,NA,NA,PRDM1
NA,NA,NA,NA,NA,NA,NA,PRDM10
NA,NA,NA,NA,NA,NA,NA,PRDM12
NA,NA,NA,NA,NA,NA,NA,PRDM15
NA,NA,NA,NA,NA,NA,NA,PRDM16
NA,NA,NA,NA,NA,NA,NA,PRDM4
NA,NA,NA,NA,NA,NA,NA,PRDM5
NA,NA,NA,NA,NA,NA,NA,PRDM8
NA,NA,NA,NA,NA,NA,NA,PRICKLE1
NA,NA,NA,NA,NA,NA,NA,PRICKLE3
NA,NA,NA,NA,NA,NA,NA,PRIM2
NA,NA,NA,NA,NA,NA,NA,PRKAA1
NA,NA,NA,NA,NA,NA,NA,PRKAA2
NA,NA,NA,NA,NA,NA,NA,PRKAB2
NA,NA,NA,NA,NA,NA,NA,PRKAG1
NA,NA,NA,NA,NA,NA,NA,PRKD2
NA,NA,NA,NA,NA,NA,NA,PRKRIP1
NA,NA,NA,NA,NA,NA,NA,PRKX
NA,NA,NA,NA,NA,NA,NA,PRMT1
NA,NA,NA,NA,NA,NA,NA,PRMT6
NA,NA,NA,NA,NA,NA,NA,PRMT7
NA,NA,NA,NA,NA,NA,NA,PROSER1
NA,NA,NA,NA,NA,NA,NA,PROX1
NA,NA,NA,NA,NA,NA,NA,PRPF18
NA,NA,NA,NA,NA,NA,NA,PRPF31
NA,NA,NA,NA,NA,NA,NA,PRPF39
NA,NA,NA,NA,NA,NA,NA,PRPF40B
NA,NA,NA,NA,NA,NA,NA,PRR13
NA,NA,NA,NA,NA,NA,NA,PRR14
NA,NA,NA,NA,NA,NA,NA,PRRX1
NA,NA,NA,NA,NA,NA,NA,PRRX2
NA,NA,NA,NA,NA,NA,NA,PSKH1
NA,NA,NA,NA,NA,NA,NA,PSMA1
NA,NA,NA,NA,NA,NA,NA,PSMA6
NA,NA,NA,NA,NA,NA,NA,PSMB1
NA,NA,NA,NA,NA,NA,NA,PSMB2
NA,NA,NA,NA,NA,NA,NA,PSMB5
NA,NA,NA,NA,NA,NA,NA,PSMD13
NA,NA,NA,NA,NA,NA,NA,PSME2
NA,NA,NA,NA,NA,NA,NA,PSME3
NA,NA,NA,NA,NA,NA,NA,PSME4
NA,NA,NA,NA,NA,NA,NA,PSMG2
NA,NA,NA,NA,NA,NA,NA,PTBP1
NA,NA,NA,NA,NA,NA,NA,PTBP3
NA,NA,NA,NA,NA,NA,NA,PTEN
NA,NA,NA,NA,NA,NA,NA,PTF1A
NA,NA,NA,NA,NA,NA,NA,PTMA
NA,NA,NA,NA,NA,NA,NA,PTOV1
NA,NA,NA,NA,NA,NA,NA,PTPDC1
NA,NA,NA,NA,NA,NA,NA,PTPN14
NA,NA,NA,NA,NA,NA,NA,PTPN2
NA,NA,NA,NA,NA,NA,NA,PTPN6
NA,NA,NA,NA,NA,NA,NA,PTTG1IP
NA,NA,NA,NA,NA,NA,NA,PUF60
NA,NA,NA,NA,NA,NA,NA,PUM3
NA,NA,NA,NA,NA,NA,NA,PURG
NA,NA,NA,NA,NA,NA,NA,PUS3
NA,NA,NA,NA,NA,NA,NA,PUS7
NA,NA,NA,NA,NA,NA,NA,PUS7L
NA,NA,NA,NA,NA,NA,NA,PVALB
NA,NA,NA,NA,NA,NA,NA,PWP1
NA,NA,NA,NA,NA,NA,NA,PWWP2A
NA,NA,NA,NA,NA,NA,NA,PWWP2B
NA,NA,NA,NA,NA,NA,NA,PYGO1
NA,NA,NA,NA,NA,NA,NA,PYGO2
NA,NA,NA,NA,NA,NA,NA,PYROXD1
NA,NA,NA,NA,NA,NA,NA,QRICH1
NA,NA,NA,NA,NA,NA,NA,QSER1
NA,NA,NA,NA,NA,NA,NA,R3HCC1L
NA,NA,NA,NA,NA,NA,NA,R3HDM2
NA,NA,NA,NA,NA,NA,NA,R3HDM4
NA,NA,NA,NA,NA,NA,NA,RABGAP1L
NA,NA,NA,NA,NA,NA,NA,RABGGTA
NA,NA,NA,NA,NA,NA,NA,RACGAP1
NA,NA,NA,NA,NA,NA,NA,RAD1
NA,NA,NA,NA,NA,NA,NA,RAD17
NA,NA,NA,NA,NA,NA,NA,RAD18
NA,NA,NA,NA,NA,NA,NA,RAD23A
NA,NA,NA,NA,NA,NA,NA,RAD50
NA,NA,NA,NA,NA,NA,NA,RAD51AP1
NA,NA,NA,NA,NA,NA,NA,RAD51B
NA,NA,NA,NA,NA,NA,NA,RAD52
NA,NA,NA,NA,NA,NA,NA,RAD54L
NA,NA,NA,NA,NA,NA,NA,RAD54L2
NA,NA,NA,NA,NA,NA,NA,RAD9A
NA,NA,NA,NA,NA,NA,NA,RAE1
NA,NA,NA,NA,NA,NA,NA,RAF1
NA,NA,NA,NA,NA,NA,NA,RAI1
NA,NA,NA,NA,NA,NA,NA,RAI14
NA,NA,NA,NA,NA,NA,NA,RALGDS
NA,NA,NA,NA,NA,NA,NA,RALY
NA,NA,NA,NA,NA,NA,NA,RALYL
NA,NA,NA,NA,NA,NA,NA,RANBP17
NA,NA,NA,NA,NA,NA,NA,RANBP3
NA,NA,NA,NA,NA,NA,NA,RANBP9
NA,NA,NA,NA,NA,NA,NA,RANGRF
NA,NA,NA,NA,NA,NA,NA,RAPGEF5
NA,NA,NA,NA,NA,NA,NA,RAPH1
NA,NA,NA,NA,NA,NA,NA,RARA
NA,NA,NA,NA,NA,NA,NA,RARB
NA,NA,NA,NA,NA,NA,NA,RARG
NA,NA,NA,NA,NA,NA,NA,RASD1
NA,NA,NA,NA,NA,NA,NA,RASL11A
NA,NA,NA,NA,NA,NA,NA,RASSF2
NA,NA,NA,NA,NA,NA,NA,RAVER2
NA,NA,NA,NA,NA,NA,NA,RB1
NA,NA,NA,NA,NA,NA,NA,RBAK
NA,NA,NA,NA,NA,NA,NA,RBBP8
NA,NA,NA,NA,NA,NA,NA,RBBP9
NA,NA,NA,NA,NA,NA,NA,RBFOX1
NA,NA,NA,NA,NA,NA,NA,RBFOX3
NA,NA,NA,NA,NA,NA,NA,RBL1
NA,NA,NA,NA,NA,NA,NA,RBL2
NA,NA,NA,NA,NA,NA,NA,RBM10
NA,NA,NA,NA,NA,NA,NA,RBM11
NA,NA,NA,NA,NA,NA,NA,RBM12
NA,NA,NA,NA,NA,NA,NA,RBM15
NA,NA,NA,NA,NA,NA,NA,RBM24
NA,NA,NA,NA,NA,NA,NA,RBM26
NA,NA,NA,NA,NA,NA,NA,RBM33
NA,NA,NA,NA,NA,NA,NA,RBM34
NA,NA,NA,NA,NA,NA,NA,RBM39
NA,NA,NA,NA,NA,NA,NA,RBM41
NA,NA,NA,NA,NA,NA,NA,RBM45
NA,NA,NA,NA,NA,NA,NA,RBM48
NA,NA,NA,NA,NA,NA,NA,RBM5
NA,NA,NA,NA,NA,NA,NA,RBM6
NA,NA,NA,NA,NA,NA,NA,RBM8A
NA,NA,NA,NA,NA,NA,NA,RBMS2
NA,NA,NA,NA,NA,NA,NA,RBX1
NA,NA,NA,NA,NA,NA,NA,RCBTB1
NA,NA,NA,NA,NA,NA,NA,RCC2
NA,NA,NA,NA,NA,NA,NA,RCHY1
NA,NA,NA,NA,NA,NA,NA,RCOR1
NA,NA,NA,NA,NA,NA,NA,RCOR3
NA,NA,NA,NA,NA,NA,NA,RDM1
NA,NA,NA,NA,NA,NA,NA,REC8
NA,NA,NA,NA,NA,NA,NA,RECQL
NA,NA,NA,NA,NA,NA,NA,RECQL4
NA,NA,NA,NA,NA,NA,NA,RECQL5
NA,NA,NA,NA,NA,NA,NA,RELB
NA,NA,NA,NA,NA,NA,NA,RELT
NA,NA,NA,NA,NA,NA,NA,REPIN1
NA,NA,NA,NA,NA,NA,NA,RETSAT
NA,NA,NA,NA,NA,NA,NA,REV3L
NA,NA,NA,NA,NA,NA,NA,REXO1
NA,NA,NA,NA,NA,NA,NA,RFC1
NA,NA,NA,NA,NA,NA,NA,RFC5
NA,NA,NA,NA,NA,NA,NA,RFWD3
NA,NA,NA,NA,NA,NA,NA,RFX2
NA,NA,NA,NA,NA,NA,NA,RFX3
NA,NA,NA,NA,NA,NA,NA,RFX4
NA,NA,NA,NA,NA,NA,NA,RFX6
NA,NA,NA,NA,NA,NA,NA,RFX7
NA,NA,NA,NA,NA,NA,NA,RFX8
NA,NA,NA,NA,NA,NA,NA,RFXANK
NA,NA,NA,NA,NA,NA,NA,RFXAP
NA,NA,NA,NA,NA,NA,NA,RGCC
NA,NA,NA,NA,NA,NA,NA,RGS12
NA,NA,NA,NA,NA,NA,NA,RGS3
NA,NA,NA,NA,NA,NA,NA,RIF1
NA,NA,NA,NA,NA,NA,NA,RING1
NA,NA,NA,NA,NA,NA,NA,RITA1
NA,NA,NA,NA,NA,NA,NA,RLIM
NA,NA,NA,NA,NA,NA,NA,RMI2
NA,NA,NA,NA,NA,NA,NA,RMND5A
NA,NA,NA,NA,NA,NA,NA,RMND5B
NA,NA,NA,NA,NA,NA,NA,RNASEH2B
NA,NA,NA,NA,NA,NA,NA,RNASEH2C
NA,NA,NA,NA,NA,NA,NA,RNF10
